"","date","cases","deaths","mortalityRate","infectionDifference"
"98","11/4/2020",9510859,234226,0.0246272182144641,-4021588
"99","11/5/2020",9631804,235334,0.0244330137947159,120945
"100","11/6/2020",9763598,236582,0.0242310263081294,131794
"101","11/7/2020",9889530,237589,0.0240242964023568,125932
"102","11/8/2020",9991805,238053,0.0238248244436316,102275
"103","11/9/2020",10121791,238798,0.023592465009404,129986
"104","12/1/2020",13715971,270639,0.0197316690156315,3594180
"105","12/10/2020",15607839,292771,0.0187579459270435,1891868
"106","12/11/2020",15886453,295726,0.0186149796937051,278614
"107","12/12/2020",16093166,297981,0.0185159961688086,206713
"108","12/13/2020",16276690,299338,0.0183905941564286,183524
"109","12/14/2020",16477281,301016,0.0182685480693083,200591
"110","12/15/2020",16679826,304041,0.0182280678467509,202545
"111","12/16/2020",16924601,307652,0.0181777992875578,244775
"112","12/17/2020",17162018,310950,0.0181184986520816,237417
"113","12/18/2020",17411915,313820,0.0180232903732875,249897
"114","12/19/2020",17604802,316381,0.0179712898787501,192887
"115","12/2/2020",13916821,273525,0.0196542730556066,-3687981
"116","12/20/2020",17783631,317810,0.017870928608449,3866810
"117","12/21/2020",17984833,319773,0.0177801484172803,201202
"118","12/22/2020",18185503,323012,0.017762060252059,200670
"119","12/23/2020",18412733,326424,0.0177281666985558,227230
"120","12/24/2020",18605985,329248,0.0176958113209271,193252
"121","12/25/2020",18706371,330377,0.0176612021647598,100386
"122","12/26/2020",18922238,332023,0.017546708798399,215867
"123","12/27/2020",19073575,333253,0.0174719736598933,151337
"124","12/28/2020",19262206,335152,0.0173994608924855,188631
"125","12/29/2020",19461293,338780,0.0174078875437516,199087
"126","12/3/2020",14134190,276381,0.0195540741988045,-5327103
"127","12/30/2020",19690222,342588,0.0173988896620871,5556032
"128","12/31/2020",19920859,346050,0.0173712388607339,230637
"129","12/4/2020",14365094,279018,0.019423332697997,-5555765
"130","12/5/2020",14569862,281208,0.0193006632458152,204768
"131","12/6/2020",14740883,282319,0.0191521091375598,171021
"132","12/7/2020",14944254,283853,0.0189941230923939,203371
"133","12/8/2020",15163476,286674,0.0189055596487243,219222
"134","12/9/2020",15382603,289830,0.0188414145512304,219127
"135","2/1/2020",8,0,0,-15382595
"136","2/1/2021",26235966,443249,0.0168947085843914,26235958
"137","2/10/2020",13,0,0,-26235953
"138","2/10/2021",27203620,471360,0.0173271057307814,27203607
"139","2/11/2020",13,0,0,-27203607
"140","2/11/2021",27309074,475238,0.017402201187781,27309061
"141","2/12/2020",14,0,0,-27309060
"142","2/12/2021",27408358,480701,0.0175384822396146,27408344
"143","2/13/2020",15,0,0,-27408343
"144","2/13/2021",27492720,484074,0.0176073520553805,27492705
"145","2/14/2020",15,0,0,-27492705
"146","2/14/2021",27556271,485154,0.0176059380458263,27556256
"147","2/15/2020",15,0,0,-27556256
"148","2/15/2021",27611414,486148,0.0176067766757617,27611399
"149","2/16/2020",15,0,0,-27611399
"150","2/16/2021",27675323,487855,0.0176277978761079,27675308
"151","2/17/2020",25,0,0,-27675298
"152","2/17/2021",27745398,490326,0.0176723361474216,27745373
"153","2/18/2020",25,0,0,-27745373
"154","2/18/2021",27817190,492951,0.0177210926049684,27817165
"155","2/19/2020",25,0,0,-27817165
"156","2/19/2021",27895108,495572,0.01776555229684,27895083
"157","2/2/2020",11,0,0,-27895097
"158","2/2/2021",26353584,446860,0.0169563274581552,26353573
"159","2/20/2020",27,0,0,-26353557
"160","2/20/2021",14995476,260339,0.0173611694620431,14995449
"161","2/21/2020",30,0,0,-14995446
"162","2/22/2020",30,0,0,0
"163","2/23/2020",30,0,0,0
"164","2/24/2020",43,0,0,13
"165","2/25/2020",45,0,0,2
"166","2/26/2020",60,0,0,15
"167","2/27/2020",60,0,0,0
"168","2/28/2020",65,0,0,5
"169","2/29/2020",70,1,0.0142857142857143,5
"170","2/3/2020",11,0,0,-59
"171","2/3/2021",26473490,450703,0.0170246914932636,26473479
"172","2/4/2020",11,0,0,-26473479
"173","2/4/2021",26599012,455820,0.0171367267325568,26599001
"174","2/5/2020",12,0,0,-26599000
"175","2/5/2021",26728487,459390,0.0171872803724356,26728475
"176","2/6/2020",12,0,0,-26728475
"177","2/6/2021",26833227,462052,0.0172193974284196,26833215
"178","2/7/2020",12,0,0,-26833215
"179","2/7/2021",26920094,463353,0.0172121612948305,26920082
"180","2/8/2020",12,0,0,-26920082
"181","2/8/2021",27012553,464936,0.0172118496167319,27012541
"182","2/9/2020",12,0,0,-27012541
"183","2/9/2021",27108793,468106,0.0172676813755596,27108781
"184","3/1/2020",88,3,0.0340909090909091,-27108705
"185","3/10/2020",1018,31,0.0304518664047151,930
"186","3/11/2020",1263,37,0.0292953285827395,245
"187","3/12/2020",1668,43,0.025779376498801,405
"188","3/13/2020",2224,50,0.0224820143884892,556
"189","3/14/2020",2898,60,0.020703933747412,674
"190","3/15/2020",3600,68,0.0188888888888889,702
"191","3/16/2020",4507,91,0.020190814288884,907
"192","3/17/2020",5906,117,0.0198103623433796,1399
"193","3/18/2020",8350,162,0.0194011976047904,2444
"194","3/19/2020",12393,212,0.0171064310497862,4043
"195","3/2/2020",104,6,0.0576923076923077,-12289
"196","3/20/2020",18012,277,0.0153786364645792,17908
"197","3/21/2020",24528,360,0.0146771037181996,6516
"198","3/22/2020",33073,458,0.0138481540833913,8545
"199","3/23/2020",43505,579,0.0133088150787266,10432
"200","3/24/2020",53938,785,0.0145537468945827,10433
"201","3/25/2020",68572,1054,0.015370705244123,14634
"202","3/26/2020",85570,1353,0.0158116162206381,16998
"203","3/27/2020",102900,1765,0.0171525753158406,17330
"204","3/28/2020",123966,2292,0.0184889405159479,21066
"205","3/29/2020",142486,2707,0.0189983577333914,18520
"206","3/3/2020",125,10,0.08,-142361
"207","3/30/2020",163955,3354,0.0204568326675002,163830
"208","3/31/2020",188461,4289,0.0227580242065998,24506
"209","3/4/2020",161,12,0.0745341614906832,-188300
"210","3/5/2020",228,12,0.0526315789473684,67
"211","3/6/2020",311,15,0.0482315112540193,83
"212","3/7/2020",428,19,0.044392523364486,117
"213","3/8/2020",547,22,0.0402193784277879,119
"214","3/9/2020",748,26,0.0347593582887701,201
"215","4/1/2020",215391,5325,0.0247224814407287,214643
"216","4/10/2020",499386,21084,0.0422198459708522,283995
"217","4/11/2020",531106,23168,0.0436221771171856,31720
"218","4/12/2020",558249,24849,0.0445123950065293,27143
"219","4/13/2020",584018,26613,0.0455688009616142,25769
"220","4/14/2020",610709,29318,0.048006497366176,26691
"221","4/15/2020",640742,32070,0.0500513467198966,30033
"222","4/16/2020",672355,34418,0.0511902194525214,31613
"223","4/17/2020",703864,36707,0.0521506995669618,31509
"224","4/18/2020",732262,38659,0.0527939453365052,28398
"225","4/19/2020",757596,40179,0.0530348629084631,25334
"226","4/2/2020",245108,6541,0.026686195473016,-512488
"227","4/20/2020",784991,42016,0.0535241805320061,539883
"228","4/21/2020",810505,44688,0.0551359954596209,25514
"229","4/22/2020",839336,47059,0.0560669386276771,28831
"230","4/23/2020",873112,49228,0.0563822281677494,33776
"231","4/24/2020",909853,51360,0.0564486790723337,36741
"232","4/25/2020",944261,53326,0.0564737927331532,34408
"233","4/26/2020",970996,54580,0.0562103242443841,26735
"234","4/27/2020",994193,56022,0.0563492199200759,23197
"235","4/28/2020",1018846,58416,0.0573354559962938,24653
"236","4/29/2020",1045401,60930,0.0582838547122109,26555
"237","4/3/2020",277426,7932,0.0285914081592929,-767975
"238","4/30/2020",1075758,63140,0.058693497980029,798332
"239","4/4/2020",312525,9488,0.0303591712662987,-763233
"240","4/5/2020",338141,10856,0.0321049503017972,25616
"241","4/6/2020",369057,12382,0.0335503729776159,30916
"242","4/7/2020",399394,14616,0.0365954420947736,30337
"243","4/8/2020",431214,16701,0.0387301896506143,31820
"244","4/9/2020",465913,18821,0.0403959537510222,34699
"245","5/1/2020",1109728,64902,0.0584846016321117,643815
"246","5/10/2020",1334757,79765,0.0597599413226527,225029
"247","5/11/2020",1352324,80747,0.0597098032719969,17567
"248","5/12/2020",1374584,82400,0.0599454089382679,22260
"249","5/13/2020",1395702,84168,0.0603051367698835,21118
"250","5/14/2020",1422576,85906,0.0603876348258371,26874
"251","5/15/2020",1448708,87499,0.0603979545912634,26132
"252","5/16/2020",1472319,88724,0.0602613971564586,23611
"253","5/17/2020",1491279,89568,0.0600611957923366,18960
"254","5/18/2020",1513051,90408,0.0597521167495345,21772
"255","5/19/2020",1533937,91928,0.0599294495145498,20886
"256","5/2/2020",1139202,66485,0.0583610281583073,-394735
"257","5/20/2020",1556926,93411,0.0599970711517439,417724
"258","5/21/2020",1582602,94722,0.0598520664070941,25676
"259","5/22/2020",1606287,96010,0.0597713858108794,23685
"260","5/23/2020",1628461,97060,0.0596022870673599,22174
"261","5/24/2020",1648415,97680,0.059256922558943,19954
"262","5/25/2020",1667418,98190,0.058887453535946,19003
"263","5/26/2020",1686253,98937,0.0586726902783865,18835
"264","5/27/2020",1704929,100422,0.0589009864926927,18676
"265","5/28/2020",1727351,101622,0.0588311234948774,22422
"266","5/29/2020",1751742,102812,0.0586912912974628,24391
"267","5/3/2020",1165342,67816,0.0581940752156878,-586400
"268","5/30/2020",1775071,103775,0.058462450234385,609729
"269","5/31/2020",1795648,104379,0.0581288760380654,20577
"270","5/4/2020",1187304,68905,0.0580348419612837,-608344
"271","5/5/2020",1209222,71139,0.0588303884646492,21918
"272","5/6/2020",1233691,73847,0.0598585869557288,24469
"273","5/7/2020",1262104,75805,0.0600624037321806,28413
"274","5/8/2020",1289640,77380,0.0600012406563072,27536
"275","5/9/2020",1314491,78834,0.0599730237787859,24851
"276","6/1/2020",1817450,105113,0.0578354287600759,502959
"277","6/10/2020",2008090,113103,0.0563236707518089,190640
"278","6/11/2020",2031270,113980,0.0561126782751677,23180
"279","6/12/2020",2056624,114759,0.055799698924062,25354
"280","6/13/2020",2081847,115451,0.0554560445604312,25223
"281","6/14/2020",2100880,115768,0.0551045276265184,19033
"282","6/15/2020",2120943,116216,0.0547944947129649,20063
"283","6/16/2020",2145778,116985,0.0545186873945021,24835
"284","6/17/2020",2171395,117738,0.0542222856734956,25617
"285","6/18/2020",2199392,118464,0.0538621582691944,27997
"286","6/19/2020",2230156,119171,0.0534361721780898,30764
"287","6/2/2020",1838188,106195,0.057771566346859,-391968
"288","6/20/2020",2261990,119717,0.0529255213329856,423802
"289","6/21/2020",2288322,119974,0.0524288102810706,26332
"290","6/22/2020",2318757,120334,0.0518959080231348,30435
"291","6/23/2020",2353808,121167,0.0514770108691958,35051
"292","6/24/2020",2390668,121934,0.051004154487365,36860
"293","6/25/2020",2431519,124400,0.0511614344777894,40851
"294","6/26/2020",2477009,125033,0.0504774104575316,45490
"295","6/27/2020",2519169,125544,0.0498354814623394,42160
"296","6/28/2020",2558584,125815,0.049173683568724,39415
"297","6/29/2020",2598002,126162,0.0485611635402898,39418
"298","6/3/2020",1858089,107184,0.0576850732123165,-739913
"299","6/30/2020",2646209,127462,0.0481677751077107,788120
"300","6/4/2020",1879229,108192,0.0575725470392379,-766980
"301","6/5/2020",1907821,109304,0.0572925866734877,28592
"302","6/6/2020",1930054,110032,0.0570098038707725,22233
"303","6/7/2020",1948565,110422,0.0566683687739439,18511
"304","6/8/2020",1966714,111144,0.0565125381728101,18149
"305","6/9/2020",1985386,112174,0.0564998443627587,18672
"306","7/1/2020",2696110,128104,0.0475143818316018,710724
"307","7/10/2020",3190999,133907,0.0419639742914366,494889
"308","7/11/2020",3251519,134582,0.0413905008705162,60520
"309","7/12/2020",3309073,134977,0.0407899735061753,57554
"310","7/13/2020",3370285,135402,0.0401752374057387,61212
"311","7/14/2020",3435792,136356,0.0396869193478534,65507
"312","7/15/2020",3503888,137327,0.0391927481700328,68096
"313","7/16/2020",3579412,138285,0.038633440352773,75524
"314","7/17/2020",3649902,139186,0.0381341745613992,70490
"315","7/18/2020",3712067,139961,0.0377043302289533,62165
"316","7/19/2020",3773805,140373,0.0371966755039012,61738
"317","7/2/2020",2751543,128827,0.0468199115914234,-1022262
"318","7/20/2020",3833343,140904,0.0367574725246345,1081800
"319","7/21/2020",3898178,142031,0.0364352269188323,64835
"320","7/22/2020",3967790,143167,0.0360823027428367,69612
"321","7/23/2020",4037343,144283,0.0357371172080252,69553
"322","7/24/2020",4110421,145429,0.0353805607746749,73078
"323","7/25/2020",4176630,146313,0.0350313530286379,66209
"324","7/26/2020",4230304,146753,0.0346908874634069,53674
"325","7/27/2020",4289231,148449,0.034609700433481,58927
"326","7/28/2020",4351980,149776,0.034415599336394,62749
"327","7/29/2020",4418558,151172,0.0342129717432701,66578
"328","7/3/2020",2808594,129418,0.0460792837982279,-1609964
"329","7/30/2020",4486999,152433,0.0339721493140515,1678405
"330","7/31/2020",4555858,153862,0.0337723432117507,68859
"331","7/4/2020",2858502,129679,0.0453660693608051,-1697356
"332","7/5/2020",2903167,129941,0.0447583621610469,44665
"333","7/6/2020",2949945,130332,0.0441811626996436,46778
"334","7/7/2020",3003923,131290,0.0437061802183345,53978
"335","7/8/2020",3063325,132238,0.0431681261374487,59402
"336","7/9/2020",3123060,133079,0.0426117333640724,59735
"337","8/1/2020",4611695,154917,0.0335922041678819,1488635
"338","8/10/2020",5081994,163023,0.032078550269835,470299
"339","8/11/2020",5134763,164474,0.0320314686383773,52769
"340","8/12/2020",5188405,165952,0.0319851669250955,53642
"341","8/13/2020",5242053,167165,0.0318892235542067,53648
"342","8/14/2020",5300835,168341,0.0317574495338942,58782
"343","8/15/2020",5351031,169400,0.0316574506856716,50196
"344","8/16/2020",5392856,169915,0.031507423895613,41825
"345","8/17/2020",5429701,170449,0.0313919679923443,36845
"346","8/18/2020",5472108,171798,0.0313952136909579,42407
"347","8/19/2020",5514865,173093,0.0313866250579117,42757
"348","8/2/2020",4662022,155337,0.0333196625841748,-852843
"349","8/20/2020",5560637,174136,0.0313158366568435,898615
"350","8/21/2020",5608948,175297,0.0312530977288433,48311
"351","8/22/2020",5653288,176247,0.0311760165057927,44340
"352","8/23/2020",5685250,176693,0.031079196165516,31962
"353","8/24/2020",5725012,177197,0.0309513761717879,39762
"354","8/25/2020",5764048,178410,0.0309522058109162,39036
"355","8/26/2020",5809094,179603,0.0309175578842415,45046
"356","8/27/2020",5854312,180729,0.0308710912571793,45218
"357","8/28/2020",5900270,181739,0.0308018107645921,45958
"358","8/29/2020",5944303,182610,0.0307201702201251,44033
"359","8/3/2020",4709143,155945,0.0331153672759566,-1235160
"360","8/30/2020",5977416,182984,0.0306125590054298,1268273
"361","8/31/2020",6013576,183472,0.0305096335358529,36160
"362","8/4/2020",4762199,157301,0.0330311690040672,-1251377
"363","8/5/2020",4815545,158554,0.0329254528822802,53346
"364","8/6/2020",4872744,159625,0.0327587494848898,57199
"365","8/7/2020",4933150,160981,0.0326324964779097,60406
"366","8/8/2020",4987700,161947,0.032469274415061,54550
"367","8/9/2020",5035482,162486,0.0322682118613471,47782
"368","9/1/2020",6057419,184563,0.0304689175373208,1021937
"369","9/10/2020",6383244,191631,0.0300209423296368,325825
"370","9/11/2020",6430460,192858,0.0299913225492422,47216
"371","9/12/2020",6469059,193559,0.0299207349940695,38599
"372","9/13/2020",6502099,193958,0.029830059493096,33040
"373","9/14/2020",6538620,194408,0.0297322676650425,36521
"374","9/15/2020",6577422,195689,0.0297516260930194,38802
"375","9/16/2020",6616553,196686,0.0297263544930419,39131
"376","9/17/2020",6661272,197535,0.029654246216038,44719
"377","9/18/2020",6709403,198484,0.0295829599146154,48131
"378","9/19/2020",6749933,199154,0.0295045891566627,40530
"379","9/2/2020",6089301,185639,0.0304860935598355,-660632
"380","9/20/2020",6785445,199367,0.0293815659842501,696144
"381","9/21/2020",6839775,199797,0.0292110486090551,54330
"382","9/22/2020",6877046,200738,0.0291895677300981,37271
"383","9/23/2020",6918496,201828,0.0291722362779425,41450
"384","9/24/2020",6962533,202713,0.0291148350751084,44037
"385","9/25/2020",7016045,203566,0.0290143521029298,53512
"386","9/26/2020",7058218,204335,0.028949941755837,42173
"387","9/27/2020",7094626,204602,0.0288390113869286,36408
"388","9/28/2020",7130901,204952,0.0287413890614945,36275
"389","9/29/2020",7173602,205878,0.0286993897905125,42701
"390","9/3/2020",6135440,186717,0.0304325362158215,-1038162
"391","9/30/2020",7215404,206852,0.0286681106144576,1079964
"392","9/4/2020",6187488,187697,0.0303349275182433,-1027916
"393","9/5/2020",6229499,188409,0.0302446472822293,42011
"394","9/6/2020",6259421,188820,0.0301657293861525,29922
"395","9/7/2020",6283788,189083,0.0300906077671621,24367
"396","9/8/2020",6312601,189541,0.0300258166166371,28813
"397","9/9/2020",6345930,190716,0.0300532782429053,33329
