"","date","MtCO2.per.day"
"175",2019-06-24,13.24581138
"176",2019-06-25,13.49941032
"177",2019-06-26,13.84105577
"178",2019-06-27,13.99744845
"179",2019-06-28,14.32852865
"180",2019-06-29,13.89318531
"181",2019-06-30,13.1638534
"182",2019-07-01,13.58798561
"183",2019-07-02,13.86171358
"184",2019-07-03,13.84039733
"185",2019-07-04,12.69340507
"186",2019-07-05,13.81037909
"187",2019-07-06,13.60848927
"188",2019-07-07,13.19698914
"189",2019-07-08,13.72576667
"190",2019-07-09,13.94155853
"191",2019-07-10,14.36289211
"192",2019-07-11,14.56645772
"193",2019-07-12,14.50066868
"194",2019-07-13,14.17636313
"195",2019-07-14,13.67754932
"196",2019-07-15,14.37139854
"197",2019-07-16,14.54907219
"198",2019-07-17,14.63661759
"199",2019-07-18,14.39714974
"200",2019-07-19,14.96516881
"201",2019-07-20,14.3375798
"202",2019-07-21,13.90283339
"203",2019-07-22,14.08746353
"204",2019-07-23,13.78579125
"205",2019-07-24,13.81248364
"206",2019-07-25,13.53697306
"207",2019-07-26,13.98614809
"208",2019-07-27,13.68526037
"209",2019-07-28,13.36292265
"210",2019-07-29,14.36965335
"211",2019-07-30,14.43661332
"212",2019-07-31,14.19357694
"213",2019-08-01,14.32161182
"214",2019-08-02,14.43847633
"215",2019-08-03,14.11586153
"216",2019-08-04,13.68344107
"217",2019-08-05,14.43833185
"218",2019-08-06,14.70079215
"219",2019-08-07,14.64151089
"220",2019-08-08,14.17646553
"221",2019-08-09,14.58757343
"222",2019-08-10,13.75419644
"223",2019-08-11,13.21352482
"224",2019-08-12,14.42308541
"225",2019-08-13,14.75269689
"226",2019-08-14,14.67811933
"227",2019-08-15,14.48105031
"228",2019-08-16,14.54927369
"229",2019-08-17,13.91730783
"230",2019-08-18,13.51697149
"231",2019-08-19,14.57214498
"232",2019-08-20,14.58638577
"233",2019-08-21,14.59500076
"234",2019-08-22,14.38951778
"235",2019-08-23,13.96668964
"236",2019-08-24,12.92311436
"237",2019-08-25,12.23709336
"238",2019-08-26,13.21418803
"239",2019-08-27,13.32753404
"240",2019-08-28,13.68442959
"241",2019-08-29,13.39549194
"242",2019-08-30,13.74509761
"243",2019-08-31,13.06827139
"244",2019-09-01,12.86066286
"245",2019-09-02,13.04378818
"246",2019-09-03,13.57413901
"247",2019-09-04,14.18507121
"248",2019-09-05,13.92212709
"249",2019-09-06,14.11040395
"250",2019-09-07,13.26930328
"251",2019-09-08,12.62434077
"252",2019-09-09,13.23827654
"253",2019-09-10,13.61028121
"254",2019-09-11,13.94935809
"255",2019-09-12,13.96094316
"256",2019-09-13,14.12032307
"257",2019-09-14,13.17977341
"258",2019-09-15,12.97543361
"259",2019-09-16,13.68895692
"260",2019-09-17,13.471277
"261",2019-09-18,13.47831673
"262",2019-09-19,13.31768947
"263",2019-09-20,13.3662265
"264",2019-09-21,12.57850722
"265",2019-09-22,12.57782949
"266",2019-09-23,13.39204052
"267",2019-09-24,13.00855205
"268",2019-09-25,13.06649227
"269",2019-09-26,13.15908319
"270",2019-09-27,13.21027547
"271",2019-09-28,12.75721914
"272",2019-09-29,12.06755081
"273",2019-09-30,12.92041762
"274",2019-10-01,14.17194564
"275",2019-10-02,14.59941217
"276",2019-10-03,14.38845327
"277",2019-10-04,14.25857207
"278",2019-10-05,13.03455504
"279",2019-10-06,12.32724284
"280",2019-10-07,13.08151601
"281",2019-10-08,12.66981973
"282",2019-10-09,12.58172066
"283",2019-10-10,12.99604478
"284",2019-10-11,12.88699406
"285",2019-10-12,12.33127752
"286",2019-10-13,11.83775384
"287",2019-10-14,13.62225805
"288",2019-10-15,12.67798555
"289",2019-10-16,12.84110841
"290",2019-10-17,12.70269811
"291",2019-10-18,12.65404331
"292",2019-10-19,12.5567498
"293",2019-10-20,11.60483132
"294",2019-10-21,12.24674238
"295",2019-10-22,12.45555105
"296",2019-10-23,12.40812215
"297",2019-10-24,12.90409222
"298",2019-10-25,13.14819174
"299",2019-10-26,12.35774045
"300",2019-10-27,11.53942684
"301",2019-10-28,13.05360218
"302",2019-10-29,13.48274189
"303",2019-10-30,13.19492227
"304",2019-10-31,13.70522013
"305",2019-11-01,14.27025412
"306",2019-11-02,13.88199399
"307",2019-11-03,12.76042332
"308",2019-11-04,13.72307636
